Time,Tweets_count
0,21
1,7
2,4
3,10
4,36
5,29
6,52
7,91
8,104
9,125
10,171
11,157
12,170
13,145
14,184
15,161
16,187
17,163
18,244
19,188
20,158
21,111
22,124
23,36
