State,Deaths
NY,169687
NJ,44776
MI,27855
LA,17077
MA,15377
IL,13826
CA,13155
WA,12117
CT,11187
PA,9641
FL,9029
GA,8943
IN,6307
OH,5314
TX,5313
CO,5079
MD,4566
VA,2842
WI,2678
AZ,2220
MO,1980
NV,1961
TN,1951
OK,1865
MS,1843
AL,1795
KY,1725
NC,1669
SC,1605
MN,1340
RI,1301
KS,1067
OR,1036
DC,1014
IA,802
PR,775
DE,686
VT,625
AR,530
ID,517
NM,494
NH,426
ME,383
UT,343
NE,311
WV,159
AK,153
MT,144
ND,135
HI,125
SD,117
GU,99
MP,33
VI,23
WY,14
AS,0
